source,target,weight
are,cars,1
are,viral_video,1
are,biden,11
are,trend,2
are,that,17
are,fireworks,1
are,christmascountdown,1
are,boys,1
are,shoplocal,1
are,saudiarabia,1
are,photography,1
are,lgbt,2
are,newyear,1
are,foryou,12
are,facebook,6
are,old,2
are,able,1
are,civilrights,2
are,work,1
are,kindness,1
saudiarabia,souljaboy,4
saudiarabia,artificialintelligence,1
saudiarabia,cars,4
saudiarabia,viral_video,49
saudiarabia,biden,8
saudiarabia,trend,65
saudiarabia,asmr,6
saudiarabia,boys,48
saudiarabia,deadmau5,1
saudiarabia,asia,1
saudiarabia,kyiv,1
saudiarabia,lgbt,1
saudiarabia,soundstouse,1
saudiarabia,germany,1
saudiarabia,mood,1
saudiarabia,cosplay,1
saudiarabia,globalwarming,1
saudiarabia,chi,2
saudiarabia,rogerstone,1
saudiarabia,summer,1
saudiarabia,foryou,1
saudiarabia,photography,1
saudiarabia,facebook,1
saudiarabia,satisfying,1
saudiarabia,work,1
saudiarabia,naturelover,1
saudiarabia,dancer,1
saudiarabia,bolivia,4
solareclipse,viral_video,1
solareclipse,chaos,26
solareclipse,trend,4
solareclipse,volcan,4
solareclipse,asia,1
solareclipse,summer,1
solareclipse,loveyourself,1
solareclipse,photography,2
solareclipse,foryou,1
solareclipse,globalwarming,1
kyiv,biden,5
kyiv,deadmau5,1
kyiv,asia,1
kyiv,summer,1
kyiv,tanks,1
kyiv,photography,1
kyiv,foryou,1
kyiv,germany,1
kyiv,local,1
kyiv,security,1
kyiv,globalwarming,1
foryou,souljaboy,6
foryou,landrover,11
foryou,artificialintelligence,41
foryou,cars,362
foryou,monsterenergy,2
foryou,francemovie,4
foryou,audiobook,1
foryou,pyfツ,7
foryou,anthonydavis,2
foryou,unboxingvideo,11
foryou,reelstiktok,3
foryou,hrvatska,15
foryou,monsterinlaw,2
foryou,nicoletvfunny,1
foryou,viral_video,596
foryou,biden,614
foryou,healthysnacks,11
foryou,gemini,15
foryou,chaos,28
foryou,ironparadise,14
foryou,fantasyart,1
foryou,streaming,38
foryou,sundaymorning,16
foryou,trend,4272
foryou,unknown,8
foryou,albumcover,13
foryou,thankyoulord,1
foryou,pride,243
foryou,sustainableinnovation,1
foryou,shoplocal,127
foryou,plantcare,9
foryou,fashionstyle,29
foryou,downtoearth,6
foryou,groveco,2
foryou,christmascountdown,41
foryou,goodwillbins,26
foryou,reviews,21
foryou,asmr,80
foryou,trafficjam,1
foryou,stpatricksday,1
foryou,grift,2
foryou,blackgirlmagic,1
foryou,recipe,2
foryou,opossum,1
foryou,boys,1
foryou,wreaths,1
foryou,meatlessmonday,1
foryou,imranriazkhan,3
foryou,southaustralia,1
foryou,deadmau5,1
foryou,volcan,1
foryou,asia,1
foryou,supercar,1
foryou,breakfast,1
foryou,old,1
foryou,lgbt,1
foryou,notapet,1
foryou,leviathan,1
foryou,secondhandfashion,1
foryou,soundstouse,80
foryou,staysmiling🥰😉,13
foryou,govols,1
foryou,mon,1
foryou,spraypaint,1
foryou,puertoricogram,1
foryou,biochemistry,1
foryou,flyingtiger,2
foryou,infection,1
foryou,healthyhairtips,1
foryou,storagehacks,3
foryou,MakeSomeoneSmile,1
foryou,beans,1
foryou,characters,3
foryou,spice,1
foryou,germany,1
foryou,guccigucci,1
foryou,mood,1
foryou,kindness,1
foryou,partymusik,3
foryou,nineties,2
foryou,cosplay,1
foryou,dccomics,6
foryou,makeupof,1
foryou,arizonacheck,1
foryou,oklahoma,1
foryou,cactuslovers,1
foryou,established,1
foryou,globalwarming,3
foryou,birthdefect,1
foryou,embracingchange,1
foryou,productivity,2
foryou,BillboardNXT,1
foryou,chi,14
foryou,loveyourself,2
foryou,earthsong,1
foryou,rogerstone,4
foryou,security,6
foryou,veterans,3
foryou,able,1
foryou,summer,1
foryou,sebastianstan,5
foryou,that,1
foryou,aicontribution,1
foryou,fireworks,2
foryou,secondhand,1
foryou,naturelover,2
foryou,marineconservation,1
foryou,dancer,1
foryou,indonesianchips,1
foryou,results,1
foryou,nomakeup,4
foryou,compliment,1
foryou,hierophant,1
foryou,witchythings,2
foryou,ubinas,1
foryou,photography,6
foryou,blondehairgirl,1
foryou,igp,1
foryou,tanks,1
foryou,fashionweek,2
foryou,hospitaltiktoks,1
foryou,findingpeace,2
foryou,newyear,1
foryou,minion,3
foryou,recession,1
foryou,childtiktok,2
foryou,parentingtips,16
foryou,facebook,36
foryou,socialisttiktok,2
foryou,reusablepadsbyseweco,1
foryou,civilrights,1
foryou,ilovesnakes,2
foryou,breakeverychain,1
foryou,marine,1
foryou,wood,1
foryou,sauna,1
foryou,work,1
foryou,supplementsthatwork,1
foryou,yumm,1
foryou,satisfying,1
foryou,local,1
foryou,bolivia,1
foryou,mutualaid,2
foryou,taylor,1
dccomics,monsterenergy,1
dccomics,ironparadise,7
dccomics,streaming,1
dccomics,trend,1
dccomics,pride,1
dccomics,shoplocal,1
dccomics,goodwillbins,1
dccomics,asmr,3
dccomics,asia,1
dccomics,lgbt,1
dccomics,cosplay,16
dccomics,summer,1
dccomics,secondhand,1
dccomics,facebook,2
dccomics,loveyourself,1
dccomics,work,1
dccomics,satisfying,1
dccomics,local,1
dccomics,photography,2
dccomics,newyear,6
satisfying,landrover,1
satisfying,artificialintelligence,2
satisfying,cars,98
satisfying,unboxingvideo,4
satisfying,hrvatska,1
satisfying,viral_video,189
satisfying,healthysnacks,2
satisfying,gemini,1
satisfying,chaos,1
satisfying,sundaymorning,2
satisfying,trend,483
satisfying,pride,378
satisfying,shoplocal,5
satisfying,christmascountdown,5
satisfying,asmr,1
satisfying,stpatricksday,1
satisfying,recipe,1
satisfying,boys,4
satisfying,southaustralia,1
satisfying,deadmau5,2
satisfying,supercar,22
satisfying,breakfast,1
satisfying,old,1
satisfying,lgbt,2
satisfying,spraypaint,10
satisfying,storagehacks,1
satisfying,beans,6
satisfying,spice,1
satisfying,germany,2
satisfying,mood,1
satisfying,kindness,1
satisfying,cosplay,1
satisfying,oklahoma,1
satisfying,productivity,1
satisfying,loveyourself,1
satisfying,summer,1
satisfying,newyear,1
satisfying,photography,1
satisfying,facebook,1
satisfying,marine,1
satisfying,fireworks,1
satisfying,anvil,1
satisfying,naturelover,1
satisfying,wood,1
satisfying,local,1
satisfying,work,2
results,healthysnacks,1
results,trend,1
results,breakfast,3
results,loveyourself,219
results,security,1
results,summer,1
results,photography,219
results,work,13
results,supplementsthatwork,1
boys,viral_video,5
boys,biden,1
boys,trend,133
boys,pride,8
boys,asmr,6
boys,that,1
boys,summer,3
boys,secondhand,1
boys,dancer,1
boys,chi,4
boys,asia,1
boys,loveyourself,1
boys,security,1
boys,photography,1
boys,germany,2
boys,facebook,2
boys,lgbt,2
boys,taylor,1
boys,cosplay,69
boys,secondhandfashion,1
boys,work,10
boys,canyoudoit,1
boys,productivity,1
boys,deadmau5,1
