,username,video_description,id,creator
0,voters4ethics,#duetwith@voters4ethics#politicaltiktok#usa#america#political#politics#viral#popular#influencer#influencers#viralinfluencer#relatable#trend#gop#republican#republicans#conservatives#leftwing#democrat#democrats#liberal#liberals#trump#donaldtrump#trumpcult#trumpindictment#jacksmith#biden#joebiden#harris#kamalaharris#woke#wokeness#staywoke,7274064516726525227,voters4ethics
1,a.riverrat,#duetwith@a.riverrat#greenwashing#greenscreen#climateactionnow#tiktokviolation#unfair#massreportingthisisn’tcontroversialinfoitslegallyobtainedinfofor#reportingonthisissue,7180362320911109419,a.riverrat
2,da2thwillsetu3,#duetwith@cjdeeznutzmaffia#intersectionalfeminism#socialjustice#equalityforall#activism#liberty#freedom#justice#shitholepresident#unitedwestand#socialjusticewarrior.#follow#tiktok#explore#likeforlikes#followforfollowback#trend#trending#viral#love#explorepage#fashion#likes,7175840146766433538,cjdeeznutzmaffia
3,ameliadaymusic,#duetwith@ameliadaymusicididalilspinwmyslipthistime💃•••#folk#newfolk#newfolksong#acousticfolk#climate#climatesong#protestsong#protestsongs#fall#flop#flops#fail#fails#savetheearth#climatecrisis#environment#environmentalism,7178754310229216558,ameliadaymusic
4,becomingchristine,#duetwith@karaaah#politics#jamie#raskin#evangelical#preacher#reverend#minister#faustian#pact#republican#party#far#right#religious#movement#political#discourse#december#12#2022#social#issues#religion#christian#news#values#ethics#mortality,7176140216506305834,karaaah
5,twinscott,#stitchwith@venetialamannam&sarepullingoutoffactoriesinmyanmarduetohumanrightsissues.#fastfashion#slowfashion#myanmar#garmentworker#shein,7158808636972698885,venetialamanna
6,reef_org,#duetwith@reef_orgpastinterns!reefsinternshipprogramisaunquieopportunitytogetinvolvedinthemarineconservationandnonprofitworld🌏learnmoreabouttheprogramandourcurrentinternsatwww.reef.org/internship#reef#nonprofitsoftiktok#marineconservation#marinejobsoftiktok#internships#thesplashdance,7155946700920769838,reef_org
7,beardsndgears,#stitchwith@soundbite_3.0nothingmakessenseanymore#bigoil#facts#conspiracy#climatechange#climateactivist#oil#gas#german#volkswagen#porsche,7157889471503928618,gma
8,thestreetswannaknow,#greenscreen#streetswannaknow#is#a#millionarie#torylanez#tory#megan#megantheestalllon#mexico#shooting#court#lawyers#dipping#it#low#speading#it##wide#twerk#twerktwerktwerk😍😍#twerkin😊#twerkit_twerkit#twerksummertwerk#media-#drama#greenscreen#meagan#meagantheestallion#torylanez#torylane#toryoupage#explore#explorepage#greenscreen#walmart#ceo#warns#stop#steal#stolen#shoplift#target#shutdown#t#tiktok#love#like#follow#followforfollowback#explore#video#meme#duet#repost#sub#subcribe#share#comment#tiktokfamous#new#tiktokchallenge#tiktoktrend#viralvideos#viralpost#slowmo#behindthescenes#virall#viral_video#virale#viraliza##kanye#kanyewest#ye#kimkardashian#kim#hollywood#drama#youtube#gossip#gossipgirlhere#gossipgirledit#gossipgalnews#gossipgirlreboot#drama#greenscreen#youngmaimi#citygirls#jt#miami#diddy#puffdaddy#love#cheater#cheat#girlfriend#boyfriend#pregnant#drama#news#media#greenscreen#torylanez#megan#megantheestallion#lie#kelsey#scandal#dramatiktok#drama#greenscreen#law#makers#introduce#new#bill#joebiden#ban#tiktok#greenscreen#rip#ellen#ellendegeneres#tvshow#djtwitch#stephentwitchboss##duetwith@mrbeast#paris#mrbeast#mrbeastchallenge#mrbeastgaming#mrbeast6000#mrbeastenespañol#greenscreen#rip#stephentwitchboss#stephentwitch#stephenboss#ellen#ellendegeneres#ellenshow#ellensdancedare#ellenpompeo#ellentube#ellenpage#tiktok#dance#longlive#goodbrother#greenscreen#pooh#poohshiesty#gucci#guccimane#jail-#prison#news#media#now#trending#olarunt#cameronjackson#zyioncharles#altercation#atlanticstationshooting#atlanticstation#atlanticstaionatl#atlanta#ga#georgia#atlscoop#policeman#policeofficer#lilwayne#ig#pulledover#greenscreen#gunna#gunnawunna#ysl#youngthug#thugger#thuggerthugger1#travis#free#freefire#torylanez#basketball#greenscreen#mexico#jailfree#prison#greenscreen#bensimmions#megan#megantheestallion#torylanez#tory#ben#bensimmons#relations#sex#relationship#kylie#kyliejenner#greenscreen#baby#lab#scienceexperiments#terminator#clone#mom#dad#science#greenscreen#eri,7183689694155263278,streetswannaknow
9,mattsrefillery,#duetwith@thebigfavoriteconsiderourmindsblown!🤯wejustlearnedthatourmasonjarlidsfitonmostmugsturningitintoatravelmug!wealsoloveseeingwhatotherrefilleryshopshave.#refill#refillerystore#refillrevolution#lowwastelifestyle#lowwastehome#sustainableswaps#sustainability#sustainbleliving,7185958479801208106,thebigfavorite
10,info_4_you,#duetwith@global.crisis#climate#catastrophe#disaster,7182432712827997482,global.crisis
11,drygoodsrefillery,"#duetwith@tiny_wastehello2023!letsstarttheyearwithsomesolidsolutions,andagoodlaugh…becauseifyoucan’tlaughatyourself,whatisthepoint??😜##lowwastehome##refillshoptok##refill##plasticfree##lowwaste",7184074315292216622,tiny_waste
12,rawdoggin_life,"#duetwith@vicenewstherepublicansarefighting,somethingtellsmethiswillbefabuloustowatch.mtgisbigmadherfriendsdidn'tincludeher.#fyp#mtg#politics#democrat#republicans",7184499906789395758,vicenews
13,claireeiserman,#stitchwith@claireeiserman#storm#flooding#boats#dam#prayer#help#flood#powerkapunch#damage,7181724391343017221,claireeiserman
14,dw_planeta,"#stitchwith@ecofrantheusonlyrecyclesonethirdofitsglass,andthat’sahugewaste.moreonsandmining@dw_planeta#learnontiktok#glassrecycling#recycling#recycle#stopmotion",7203745809815358725,ecofran
15,farmboyjames,#stitchwith@farmboyjamesthisguyisclueless#bees#honeybees#beekeeper,7202956783839677742,farmboyjames
16,redcrown32,#duetwith@stoniepresents#leftist#truth#stopthemaddness#america#aarp#gop#democrat,7204864042308177198,stoniepresents
17,sageadvice22,"#stitchwith@cardinalandpineiknowihavebeensayingthisforquiteawhilenow,buttheseareactualdoctorswhoarereallyjusttryingtosavepeopleslives.whydoesthegovernmentthinkit’soktogetinvolvedinarelationshipbetweenawomanandherdoctor?thisneedstoendnow.#mybodymychoice#handsoffmybody#womensrightsarehumanrights#prochoiceisprolife#democrat#republican#blue#red#liberal#maga#womenshealthcareishealthcare",7206814363033046318,cardinalandpine
18,lynnrazz2,#duetwith@whatsupcv#newsdoh!thebaseisfracturing…!!#teehee#whenfascistsfight#politics#political#politicaltiktok#trump#desantis#infighting#democrats#democracy#politicalnews#fyyyyyyyyyyyyyyyy,7205553400346365227,whatsupcv
19,pixilatepixies,#duetwith@nowthispolitics#protecticwa#icwa#everychildmatters#indigenoustiktok#nativetiktok#tribalsovereignty#adoptiontiktok#transracialadoption#adoptiontrauma#fostercare#adoption#protectkids#environmentaljustice#fossilfuel#fossilfuels#bigoil#polluters#pollution#greenhousegases#climatechange#globalwarming#dakotaaccesspipeline#dapl#standingrock#activism,7164493194875948334,nowthis
20,preciousjoyjones3,#duetwith@maddy#independent#politics#peace#democrat#voteblue#freedom#politicaltiktok#family#equality#inclusion#lgdtq🌈#blacklivesmatter#kindness#donaldtrump,7247190363826408746,independent
21,brittainspears1983,#stitchwith@mrpoliticalclips#trump2024#family#democrat#conservative#liberal#republican#fypシ#fyp#patriot#food#fishtok#fishing#texas#voterepublican#maga#america#trump#trump2024#democrat,7246779616910675242,mrpoliticalclips
22,counterpointpolitics,#duetwith@independentthought#jordanneely#danielpenny#selfdefense#lethalforce#rearnakedchoke#talkshow#leftwing#podcast#politicalpodcast#politics#politicaltiktok#republican#democrat#liberal#conservative#biden#trump#maga#leftist#progressive#progressivesontiktok#fyp#usa,7243881298132045098,independent
23,toad.io,#stitchwith@toad.ioschoolair<<<<#heshe#twospirit#indigenous#lgbtq#schoolairsucks#fyp#foryou#fyppppp#toadio,7225836125976415530,toad.io
24,mabes9781,#stitchwith@mabes9781#changetheworld#togetherwecanmakeadifference#dobettertobebetter#womenempowerment#togetherwecanchangetheworld#transsupporter#standwithlgbtqcommunity#transgendersupporter#blacklivesmatter#stopthehate#togetherwecanmakeabetterworld#trumpsucks#republicansareidiots#lgbqtiapluslivesmatter#bekindtoeveryone#bekind#diversityequalspower#wethepeople#governmentcorruption#governmentcontrol#timeforarevolution#dismantlethesystem#dismantlethepatriarchy#dismantlecapitalism#dismantlecorporategreed#protecttranskids#protecttransyouth#protecttranslives#protecttranspeople#protectblackwomen#protectblackchildren#diversityequalspower#iamanatheist#atheistsoftiktok#politics#politicstiktok#political#democrat#demsoftiktok#pittsburgh#pittsburghpa#pitsburghlgbt#pittsburghlgbtqia#pagovernor#pagovernment#joshshapirogov#govshapiro#pennslvaniademocrats#pennsylvaniagovernor#pennsylvanians#momoftransgender#momoftransson#abortionrights#abortionisessentialhealthcare#abortionisahumanright#abortionisahumanright#prochoiceisprowomen#prochoiceisprolife#prochoice#womensrights#womensupportingwomen#mybodymychoice#wethepeople#forthepeople#forthepeoplebythepeople#governmentistheproblem#governmentiscorrupt#maliciouscompliance#foryoupage#fyp#foryou#democracy#america#liberal#leftist#progressive#democrat#feminism#women#bipoc#igbt#transgender#transgendergirl#transgendergirl#transgenderman#transgenderwoman#transgenderpride#transgendersoftiktok#transgenderchristian#transgenderdayofvisibility#transgederbeauty#transgenderdad#transgendermama#transgenderparent#transgendermom#changetheworld#togetherwecanmakeadifference#dobettertobebetter#togetherwecanchangetheworld#transsupporter#transgendersafeplace#transgendersupport#transgendersafespace#transgenderyouth#transgenderteacher#transgendertiktok#transgenderthings#transgendertok#transgenderawareness#transgenderandpregnant#transgenderally#transgenderandproud#transgenderawarenessweek#transgenderactor#transgenderartist#transgenderagenda#transgenderblackman#transgenderblackwomen#transgendercelebs#transgenderblackwoman#transgenderblackmen,7225266566097685803,mabes9781
