Username,Creator,Weight
shitholepresident,shitholepresident,1
shitholepresident,socialjusticewarrior,1
shitholepresident,equalityforall,1
shitholepresident,likeforlikes,1
shitholepresident,intersectionalfeminism,1
shitholepresident,unitedwestand,1
shitholepresident,liberty,1
shitholepresident,socialjustice,1
shitholepresident,explore,1
shitholepresident,activism,1
socialjusticewarrior,shitholepresident,1
socialjusticewarrior,socialjusticewarrior,1
socialjusticewarrior,equalityforall,1
socialjusticewarrior,likeforlikes,1
socialjusticewarrior,intersectionalfeminism,1
socialjusticewarrior,unitedwestand,1
socialjusticewarrior,liberty,1
socialjusticewarrior,socialjustice,1
socialjusticewarrior,explore,1
socialjusticewarrior,activism,1
equalityforall,shitholepresident,1
equalityforall,socialjusticewarrior,1
equalityforall,equalityforall,1
equalityforall,likeforlikes,1
equalityforall,intersectionalfeminism,1
equalityforall,unitedwestand,1
equalityforall,liberty,1
equalityforall,socialjustice,1
equalityforall,explore,1
equalityforall,activism,1
equalityforall,cult45,1
equalityforall,republicans,1
equalityforall,voteblue,1
equalityforall,donaldtrump,1
equalityforall,tennessee,1
equalityforall,nashville,1
equalityforall,fauxnews,1
equalityforall,trumpisacriminal,1
equalityforall,lockhimup,1
equalityforall,govotetn,1
likeforlikes,shitholepresident,1
likeforlikes,socialjusticewarrior,1
likeforlikes,equalityforall,1
likeforlikes,likeforlikes,22
likeforlikes,intersectionalfeminism,1
likeforlikes,unitedwestand,1
likeforlikes,liberty,1
likeforlikes,socialjustice,1
likeforlikes,explore,1
likeforlikes,activism,1
likeforlikes,photooftheday,21
likeforlikes,photography,21
likeforlikes,picoftheday,21
likeforlikes,art,21
likeforlikes,happy,21
likeforlikes,cute,18
likeforlikes,family,21
likeforlikes,beautiful,18
likeforlikes,photo,18
likeforlikes,life,3
likeforlikes,motivation,3
likeforlikes,inspiration,3
likeforlikes,newsroundup,1
likeforlikes,roundup,1
likeforlikes,worldnews,1
likeforlikes,thisweek,1
likeforlikes,russia,1
likeforlikes,ukrainewar,1
likeforlikes,climatecrisis,1
likeforlikes,pakistan,1
likeforlikes,climatechange,1
likeforlikes,zelenskyy,1
likeforlikes,dtatdm,1
likeforlikes,showbiz,1
likeforlikes,shocking,1
likeforlikes,dailymail,1
likeforlikes,crimetok,1
likeforlikes,crime,1
likeforlikes,truecrime,1
likeforlikes,rundown,1
likeforlikes,celebritynews,1
likeforlikes,scandal,1
likeforlikes,anarchist,1
likeforlikes,anarchism,1
likeforlikes,missouri,1
likeforlikes,socialist,1
